"group_id","user_id","customer_name"
"13092","24359","c1"
"1","24620","c1"
"1","26453","c1"
"13035","16059","c1"
"2","22074","c1"
"6","15319","c1"
"13083","13700","c1"
"1","20311","c1"
"6","22283","c1"
"20518","20566","c1"
"13041","14027","c1"
"16232","21070","c1"
"13043","16651","c1"
"6","15399","c1"
"13162","17659","c1"
"16506","18876","c1"
"13073","17073","c1"
"2","24925","c1"
"13117","17709","c1"
"13106","17570","c1"
"1","24117","c1"
"16232","17672","c1"
"23453","19937","c1"
"6","16086","c1"
"13932","19476","c1"
"23586","21855","c1"
"6","16676","c1"
"13932","16200","c1"
"1","18249","c1"
"13932","14571","c1"
"13035","15861","c1"
"16498","13900","c1"
"13035","14475","c1"
"6","23091","c1"
"15864","19571","c1"
"23809","17446","c1"
"6","21423","c1"
"1","22587","c1"
"6","25690","c1"
"1","16638","c1"
"6","19124","c1"
"16232","22746","c1"
"13200","22121","c1"
"13035","14768","c1"
"1","26449","c1"
"2","26461","c1"
"1","24650","c1"
"16827","16926","c1"
"13163","17309","c1"
"16506","17993","c1"
"13127","25587","c1"
"13083","13530","c1"
"13932","16013","c1"
"23575","26480","c1"
"25697","23126","c1"
"2","24553","c1"
"2","19186","c1"
"23606","23857","c1"
"23423","27073","c1"
"2","13353","c1"
"1","24988","c1"
"23569","19212","c1"
"2","14509","c1"
"1","25806","c1"
"13060","20749","c1"
"13932","14679","c1"
"15864","17577","c1"
"6","23012","c1"
"6","14430","c1"
"6","16916","c1"
"16506","19491","c1"
"6","15996","c1"
"1","19218","c1"
"1","14836","c1"
"2","26156","c1"
"14625","24018","c1"
"16506","17748","c1"
"25228","24671","c1"
"15864","18527","c1"
"15864","19322","c1"
"1","19436","c1"
"2","23955","c1"
"2","17045","c1"
"1","25510","c1"
"13932","15051","c1"
"13932","15738","c1"
"25371","21269","c1"
"13932","15773","c1"
"6","22782","c1"
"1","17210","c1"
"13071","22604","c1"
"14015","13955","c1"
"1","13480","c1"
"2","13800","c1"
"22178","20123","c1"
"23451","21781","c1"
"13063","13713","c1"
"15864","17802","c1"
"1","19805","c1"
"1","18467","c1"
"13118","16279","c1"
"2","16661","c1"
"16506","19933","c1"
"2","15124","c1"
"16506","21871","c1"
"13201","27000","c1"
"13043","24999","c1"
"13035","15832","c1"
"2","14691","c1"
"2","21614","c1"
"13061","20308","c1"
"13069","19841","c1"
"21981","22378","c1"
"13062","14340","c1"
"16825","16869","c1"
"16232","18473","c1"
"1","14714","c1"
"13092","20649","c1"
"13082","26444","c1"
"13220","18059","c1"
"15864","17327","c1"
"16232","19653","c1"
"6","22999","c1"
"6","17782","c1"
"6","17958","c1"
"2","15116","c1"
"15864","21075","c1"
"6","19859","c1"
"2","17110","c1"
"13617","13510","c1"
"16232","23871","c1"
"20213","23136","c1"
"6","23900","c1"
"6","19483","c1"
"6","21654","c1"
"6","17215","c1"
"23345","19116","c1"
"13163","14700","c1"
"16506","18070","c1"
"1","21684","c1"
"6","15678","c1"
"2","15638","c1"
"2","18647","c1"
"2","19353","c1"
"16232","19123","c1"
"16232","16866","c1"
"6","14905","c1"
"13217","13789","c1"
"1","17440","c1"
"1","22710","c1"
"2","25974","c1"
"2","15108","c1"
"15417","17202","c2"
"1","17726","c2"
"1","14579","c2"
"2","15342","c2"
"13312","13461","c2"
"13333","13386","c2"
"13338","16994","c2"
"17172","17166","c2"
"13333","13400","c2"
"2","16848","c2"
"13712","13741","c2"
"2","15237","c2"
"16535","16538","c2"
"6","13496","c2"
"2","16792","c2"
"1","14428","c2"
"6","17414","c2"
"16206","17032","c2"
"14957","17205","c2"
"6","17894","c2"
"2","15019","c2"
"2","16754","c2"
"1","14797","c2"
"13877","13950","c2"
"13332","15857","c2"
"2","17295","c2"
"14419","15539","c2"
"13408","16904","c2"
"1","15702","c2"
"14454","14456","c2"
"13714","13719","c2"
"13539","13544","c2"
"1","16104","c2"
"2","16649","c2"
"6","13308","c2"
"17398","17400","c2"
"13246","13382","c2"
"17604","17591","c2"
"13764","15733","c2"
"15057","15077","c2"
"2","13618","c2"
"1","17722","c2"
"16206","16240","c2"
"6","14604","c2"
"6","14552","c2"
"2","16100","c2"
"16006","16031","c2"
"13646","13662","c2"
"1","15319","c2"
"13332","13393","c2"
"2","17175","c2"
"16500","16508","c2"
"18131","18123","c2"
"6","16809","c2"
"1","15792","c2"
"6","16264","c2"
"13332","17089","c2"
"17608","17939","c2"
"17526","17525","c2"
"6","16001","c2"
"6","18018","c2"
"1","14973","c2"
"14249","15186","c2"
"6","14447","c2"
"15035","15044","c2"
"15391","15390","c2"
"6","17196","c2"
"2","15612","c2"
"1","16787","c2"
"6","13553","c2"
"13765","14432","c2"
"1","16092","c2"
"15102","17223","c2"
"6","15742","c2"
"14957","17206","c2"
"6","14619","c2"
"17437","18141","c2"
"6","16794","c2"
"13408","15492","c2"
"17915","17917","c2"
"17986","14413","c2"
