idst,idstMember,filter
2,14549,""
1,15506,""
1,14516,""
6,14544,""
1,13870,""
14478,14375,""
14521,15520,""
13036,15437,""
13134,13997,""
6,13668,""
14274,13921,""
14520,15083,""
14953,14990,""
14520,14629,""
2,14451,""
14478,13936,""
6,13786,""
13060,14525,""
2,15069,""
2,14045,""
14944,14984,""
14310,13664,""
14478,14255,""
13036,15361,""
13124,13692,""
1,15390,""
13035,14315,""
14478,14649,""
1,15207,""
14945,14959,""
14261,14048,""
14520,14675,""
2,15226,""
1,15136,""
13156,13860,""
14953,14970,""
14726,15247,""
13036,15296,""
2,13817,""
1,15487,""
13036,15412,""
2,15493,""
13118,14119,""
14191,14030,""
4,13971,""
14528,13986,""
14683,15210,""
1,14169,""
6,13619,""
6,15311,""
1,14105,""
14478,15135,""
14478,14358,""
1,14440,""
1,15019,""
6,14319,""
6,14451,""
2,15365,""
4,13898,""
14478,13839,""
12301,13632,""
2,13748,""
14478,13742,""
12301,13820,""
2,13659,""
2,14804,""
6,14675,""
2,14358,""
6,15331,""
13134,13766,""
6,14273,""
14679,15147,""
2,14204,""
13060,15381,""
1,15502,""
13035,15420,""
14528,13955,""
13036,15341,""
13135,13875,""
14012,14093,""
6,15009,""
1,15325,""
13135,13890,""
13060,15531,""
13112,14111,""
14274,15159,""
2,14571,""
14521,15346,""
14478,14148,""
14945,14966,""
14478,13692,""
13133,13776,""
14310,13683,""
1,14956,""
13130,13689,""
6,15133,""
14520,15330,""
6,15250,""
13118,13725,""
13119,13883,""
6,15141,""
1,14746,""
12301,14049,""
2,13719,""
14528,15151,""
13036,15506,""
14478,14279,""
13035,15353,""
1,13723,""
6,15026,""
1,14239,""
6,14164,""
13113,13892,""
6,14439,""
13036,15479,""
2,13722,""
1,13685,""
2,14002,""
2,13737,""
2,14440,""
13124,14076,""
14230,13992,""
2,13919,""
13112,13949,""
1,15389,""
1,14047,""
6,15430,""
6,15475,""
14274,14030,""
13035,15144,""
2,14483,""
14520,15054,""
6,15144,""
14099,14108,""
14682,15166,""
13035,15504,""
2,13839,""
14478,14317,""
2,15467,""
6,13973,""
14528,13748,""
14726,14725,""
14521,14547,""
2,13950,""
13036,15365,""
2,15106,""
13036,15140,""
6,14282,""
13053,13882,""
1,15064,""
14342,15251,""
13148,13870,""
14478,14109,""
14478,13909,""
1,15146,""
2,15043,""
13123,13778,""
2,14432,""
13119,13986,""
14664,15143,""
1,15485,""
1,15509,""
2,15038,""
1,15438,""
14478,13898,""
6,13715,""
2,13831,""
6,14804,""
13137,13947,""
14342,14255,""
2,14531,""
13036,15515,""
6,13950,""
2,14448,""
15481,15486,""
6,13830,""
14521,15085,""
14478,13927,""
1,15069,""
1,13707,""
6,14393,""
6,14054,""
2,14039,""
1,14108,""
12301,13946,""
14680,15201,""
1,14965,""
1,13695,""
1,15152,""
13060,15133,""
14099,14248,""
1,13733,""
6,15105,""
13060,14624,""
13060,15477,""
13035,15532,""
13125,13735,""
14310,13599,""
13035,15117,""
13130,14002,""
1,13960,""
6,15537,""
14520,14557,""
6,15090,""
2,13023,""
6,14556,""
13137,13847,""
1,13639,""
14478,14078,""
13053,14525,""
13129,13695,""
2,14001,""
2,13969,""
14520,15361,""
14520,14530,""
1,14412,""
2,14644,""
1,14503,""
15481,15306,""
2,14169,""
2,14789,""
2,13811,""
2,14270,""
14520,14672,""
14520,15347,""
14520,15145,""
14099,14024,""
13060,14504,""
13060,15191,""
14944,14995,""
14528,13813,""
14342,14497,""
14478,13693,""
14952,15034,""
14478,13949,""
14478,14169,""
6,14335,""
1,14083,""
1,14968,""
2,13663,""
2,13854,""
6,15151,""
14274,13958,""
13060,15151,""
13135,13807,""
14478,13632,""
13129,13926,""
14478,14631,""
2,15063,""
13060,15329,""
13139,13634,""
1,14580,""
14310,14317,""
6,14560,""
4,15119,""
2,13941,""
6,15238,""
6,14374,""
2,14311,""
13060,14645,""
13036,15182,""
14521,14533,""
14521,15187,""
13120,13843,""
14521,15521,""
6,14382,""
13060,15065,""
13113,14259,""
13125,13706,""
1,13853,""
1,15494,""
6,15266,""
13112,13909,""
13060,14498,""
6,15207,""
13035,15332,""
13060,15135,""
2,14408,""
13121,13887,""
14947,14958,""
13060,15129,""
6,14792,""
6,14369,""
2,13878,""
14944,15013,""
13053,14639,""
6,14588,""
4,13690,""
15481,15214,""
13120,13679,""
13118,13854,""
14310,14235,""
13060,14677,""
1,15049,""
1,14260,""
14683,15160,""
2,15469,""
2,13866,""
1,14062,""
14528,13919,""
1,13607,""
13060,14513,""
2,14324,""
3,14064,""
2,15337,""
1,14084,""
1,15068,""
13060,14647,""
1,13692,""
13118,13651,""
1,14410,""
13118,13626,""
1,14649,""
1,15012,""
14944,14963,""
13123,14268,""
2,14089,""
6,13939,""
13060,15087,""
14521,15068,""
6,14476,""
13036,15433,""
1,13807,""
14264,14340,""
1,13597,""
1,13972,""
13135,13740,""
14944,15003,""
13036,15198,""
2,14112,""
2,13620,""
2,13805,""
1,13852,""
14478,14483,""
6,14746,""
14012,14001,""
1,15117,""
14478,13938,""
13150,13900,""
1,15217,""
6,13885,""
13125,13608,""
13119,13801,""
1,13604,""
6,14545,""
13035,15379,""
14664,15483,""
12301,13670,""
6,15092,""
14478,14348,""
13036,15482,""
2,13875,""
14520,15420,""
2,15272,""
13112,14259,""
13036,14637,""
14478,13902,""
6,14441,""
1,13791,""
2,14472,""
13053,14258,""
2,14599,""
1,15216,""
15481,15399,""
6,15372,""
6,15235,""
13036,15360,""
2,14398,""
12301,13882,""
2,15100,""
2,15409,""
14948,14958,""
14478,14455,""
13053,14524,""
6,15091,""
1,15327,""
13060,15356,""
14664,15500,""
14521,14574,""
14478,13883,""
13060,15314,""
14665,15507,""
2,13688,""
1,14049,""
14274,15169,""
6,15175,""
14478,13640,""
6,15152,""
13124,13735,""
6,15409,""
6,15457,""
2,13790,""
1,15236,""
13036,15495,""
2,15308,""
1,15372,""
13060,14607,""
13136,13952,""
1,14226,""
4,13640,""
1,15341,""
13121,14129,""
1,14978,""
1,15521,""
13125,13599,""
2,14445,""
2,14326,""
6,14204,""
13150,13813,""
6,13658,""
13060,15092,""
13112,13898,""
14664,15496,""
14341,13634,""
2,14990,""
1,15477,""
6,15275,""
14664,15493,""
14274,14523,""
13136,14212,""
2,13056,""
14666,14977,""
14521,14570,""
1,14053,""
13136,14224,""
6,14146,""
14478,14445,""
2,15016,""
6,13723,""
1,14594,""
14185,14036,""
13060,14470,""
13053,14321,""
6,14558,""
14682,15259,""
13124,14068,""
13036,15118,""
1,13762,""
14478,15314,""
13120,13751,""
2,14168,""
1,15318,""
15481,15232,""
14478,14452,""
4,13995,""
13053,13984,""
1,14592,""
14478,13908,""
2,14003,""
14228,14321,""
6,13894,""
6,15005,""
6,14527,""
14664,15051,""
6,13866,""
13036,15493,""
6,15535,""
6,14455,""
2,14569,""
2,15292,""
6,15384,""
2,15327,""
1,15175,""
1,14837,""
13060,14451,""
13060,15413,""
1,13839,""
1,14697,""
1,13823,""
1,13813,""
2,13786,""
2,13832,""
2,15240,""
1,15264,""
13060,14634,""
2,15193,""
14520,15085,""
13137,13819,""
13060,15393,""
6,14347,""
14528,13648,""
14478,14484,""
14696,15233,""
1,15256,""
14696,15250,""
1,13929,""
6,13789,""
2,13761,""
14945,14986,""
2,14423,""
15481,15210,""
2,14640,""
1,15463,""
1,13691,""
13124,13683,""
14478,13733,""
6,14135,""
13113,13928,""
13137,13802,""
14945,14943,""
6,15189,""
13053,14045,""
1,13913,""
14274,14652,""
2,14260,""
2,13744,""
2,14011,""
13071,14182,""
6,14348,""
2,14401,""
14478,15048,""
14478,13698,""
6,15391,""
1,14725,""
14520,14573,""
15481,15252,""
13060,15050,""
4,13743,""
14274,13881,""
13053,13767,""
14478,13656,""
13122,13891,""
14664,15044,""
1,13704,""
14945,15001,""
13132,13776,""
6,14140,""
1,15131,""
13135,13924,""
14478,15300,""
13035,15365,""
6,15127,""
6,15425,""
2,13591,""
13124,14329,""
2,15475,""
6,13620,""
13053,13892,""
2,13765,""
14528,13828,""
2,13699,""
1,15020,""
14478,14125,""
13124,14062,""
13060,14459,""
14521,14535,""
14521,15083,""
2,15332,""
14274,13725,""
2,14123,""
3,13848,""
14274,13735,""
1,15071,""
6,13849,""
14263,13849,""
1,14093,""
1,13904,""
1,13111,""
13158,14061,""
14274,14338,""
13133,13622,""
2,15531,""
1,13681,""
14342,14636,""
2,15083,""
6,15322,""
2,13844,""
2,14213,""
6,13675,""
6,14463,""
2,13945,""
1,14536,""
13125,13685,""
1,14329,""
14274,14497,""
1,15243,""
6,14488,""
14478,14352,""
6,14482,""
6,14406,""
2,15380,""
6,14551,""
2,13763,""
14521,14562,""
13120,13887,""
14528,14376,""
2,14093,""
1,14241,""
14520,14537,""
1,14738,""
13124,14201,""
2,15403,""
6,15060,""
1,14776,""
13053,14335,""
1,15401,""
1,14059,""
1,14117,""
2,13862,""
13060,15427,""
2,15153,""
6,15529,""
1,14526,""
6,13623,""
14528,13803,""
1,15480,""
14520,15419,""
15481,15240,""
1,13954,""
2,14559,""
2,14363,""
2,13882,""
13060,14594,""
14478,13986,""
14042,14080,""
1,15017,""
14680,15264,""
1,14812,""
13115,13852,""
13148,13628,""
14274,15300,""
14665,15492,""
3,13868,""
1,14611,""
2,15355,""
13129,13361,""
14310,13593,""
1,13947,""
1,15345,""
1,13738,""
13134,14243,""
2,13728,""
14342,15255,""
13035,15387,""
2,13711,""
13060,15095,""
13125,14201,""
2,13648,""
13135,13612,""
14947,14946,""
2,14357,""
1,15188,""
1,13655,""
14342,14441,""
14264,14123,""
6,14449,""
14342,14552,""
6,13766,""
2,15026,""
14264,13943,""
6,14379,""
1,13923,""
13053,13657,""
1,13023,""
13036,14315,""
13135,14009,""
13035,15497,""
6,13804,""
6,13823,""
1,14057,""
14478,14054,""
2,15384,""
6,15136,""
14478,13886,""
2,14170,""
14520,15516,""
6,14220,""
14695,15222,""
13053,13955,""
14274,14255,""
